Date,Journal,Piece,Compte,Libelle,Debit,Credit
"2026-01-15","VE","VE-2026-001","411000","Vente client ALPHA","12500,00",""
"2026-01-15","VE","VE-2026-001","701000","Vente client ALPHA","","12500,00"
"2026-01-18","AC","AC-2026-011","601000","Achat matières premières","3200,50",""
"2026-01-18","AC","AC-2026-011","401000","Achat matières premières","","3200,50"
"2026-01-20","BQ","BQ-2026-004","512000","Règlement client ALPHA","12500,00",""
"2026-01-20","BQ","BQ-2026-004","411000","Règlement client ALPHA","","12500,00"
"2026-01-31","OD","OD-2026-002","641000","Salaires janvier","22500,00",""
"2026-01-31","OD","OD-2026-002","645000","Charges sociales janvier","9600,00",""
"2026-01-31","OD","OD-2026-002","401000","Salaires et charges janvier","","32100,00"
"2026-02-05","VE","VE-2026-007","411000","Vente client BETA","4400,00",""
"2026-02-05","VE","VE-2026-007","701000","Vente client BETA","","4400,00"
"2026-02-12","AC","AC-2026-019","606100","Fournitures de bureau","1450,00",""
"2026-02-12","AC","AC-2026-019","401000","Fournitures de bureau","","1450,00"
"2026-02-28","OD","OD-2026-005","641000","Salaires février","22500,00",""
"2026-02-28","OD","OD-2026-005","401000","Salaires février","","22500,00"
"2026-03-10","AC","AC-2026-026","627000","Frais bancaires","185,00",""
"2026-03-10","AC","AC-2026-026","512000","Frais bancaires","","185,00"
"2026-03-15","VE","VE-2026-013","411000","Vente client GAMMA","6900,00",""
"2026-03-15","VE","VE-2026-013","706000","Vente client GAMMA","","6900,00"
"2026-03-31","OD","OD-2026-009","681000","Dotation amortissements T1","2100,00",""
"2026-03-31","OD","OD-2026-009","281000","Dotation amortissements T1","","2100,00"
"2026-04-08","AC","AC-2026-031","613000","Loyer avril","3200,00",""
"2026-04-08","AC","AC-2026-031","401000","Loyer avril","","3200,00"
"2026-04-20","BQ","BQ-2026-022","512000","Règlement client BETA","4400,00",""
"2026-04-20","BQ","BQ-2026-022","411000","Règlement client BETA","","4400,00"
"2026-04-30","OD","OD-2026-012","661000","Intérêts emprunt","850,00",""
"2026-04-30","OD","OD-2026-012","512000","Intérêts emprunt","","850,00"
