Compte,Libelle,AnneeMois,DateFinMois,Budget
601000,"Achats de matières premières",2026-01,2026-01-31,"2688,42"
606100,"Fournitures non stockables",2026-02,2026-02-28,"1377,50"
613000,"Locations",2026-04,2026-04-30,"2966,40"
627000,"Services bancaires et assimilés",2026-03,2026-03-31,"222,00"
641000,"Rémunérations du personnel",2026-01,2026-01-31,"19440,00"
641000,"Rémunérations du personnel",2026-02,2026-02-28,"23085,00"
645000,"Charges de sécurité sociale",2026-01,2026-01-31,"8294,40"
661000,"Charges d'intérêts",2026-04,2026-04-30,"726,75"
701000,"Ventes de produits finis",2026-01,2026-01-31,"11000,00"
701000,"Ventes de produits finis",2026-02,2026-02-28,"4598,00"
706000,"Prestations de services",2026-03,2026-03-31,"9936,00"
