Compte,Libelle,Total_ERP
601000,"Achats de matières premières",5760,90
606100,"Fournitures non stockables",2827,50
613000,"Locations",6080,00
621000,"Personnel extérieur",0,00
627000,"Services bancaires et assimilés",407,00
641000,"Rémunérations du personnel",84375,00
645000,"Charges de sécurité sociale",18130,00
661000,"Charges d'intérêts",1615,00
681000,"Dotations aux amortissements",4620,00
701000,"Ventes de produits finis",31080,00
706000,"Prestations de services",15180,00
708000,"Produits des activités annexes",0,00
761000,"Produits financiers",0,00
