"Date","Journal","Piece","Compte","Libelle","Debit","Credit"
"15/01/2026","VE","VE-2026-001","411000","Vente client ALPHA","12 500,00",""
"15/01/2026","VE","VE-2026-001","701000","vente client alpha","","12 500,00"
"2026-01-18","AC","AC-2026-011","601000","Achat matieres premieres","3 200,50",""
"2026-01-18","AC","AC-2026-011","401000","ACHAT MATIERES PREMIERES","","3 200,50"
"20/01/2026","BQ","BQ-2026-004","512000","Reglement client ALPHA","12 500,00",""
"20/01/2026","BQ","BQ-2026-004","411000","Reglement client  ALPHA","","12 500,00"
"31/01/2026","OD","OD-2026-002","641000","Salaires janvier","22 500,00",""
"31/01/2026","OD","OD-2026-002","645000","Charges sociales janvier","9 600,00",""
"31/01/2026","OD","OD-2026-002","401000","Salaires et charges janvier","","32 100,00"
"05/02/2026","VE","VE-2026-007","411000","Vente client BETA","4 400,00",""
"05/02/2026","VE","VE-2026-007","701000","Vente client BETA","","4 000,00"
"12/02/2026","AC","AC-2026-019","606100","Fournitures de bureau","1 450,00",""
"12/02/2026","AC","AC-2026-019","401000","fournitures de bureau","","1 450,00"
"12/02/2026","AC","AC-2026-019","606100","Fournitures de bureau","1 450,00",""
"28/02/2026","OD","OD-2026-005","641000","Salaires fevrier","22 500,00",""
"28/02/2026","OD","OD-2026-005","401000","Salaires fevrier","","22 500,00"
"03/03/2026","BQ","BQ-2026-014","512000","Encaissement divers","",""
"10/03/2026","AC","AC-2026-026","627000","Frais bancaires","185,00",""
"10/03/2026","AC","AC-2026-026","512000","Frais bancaires","","185,00"
"15/03/2026","VE","VE-2026-013","411000","VENTE CLIENT gamma","6 900,00",""
"15/03/2026","VE","VE-2026-013","706000","Vente client Gamma","","6 900,00"
"31/03/2026","OD","OD-2026-009","681000","Dotation amortissements T1","2 100,00",""
"31/03/2026","OD","OD-2026-009","281000","Dotation amortissements T1","","2 100,00"
"08/04/2026","AC","AC-2026-031","613000","Loyer avril","3 200,00",""
"08/04/2026","AC","AC-2026-031","401000","loyer  avril","","3 200,00"
"20/04/2026","BQ","BQ-2026-022","512000","Reglement client BETA","4 400,00",""
"20/04/2026","BQ","BQ-2026-022","411000","Reglement client beta","","4 400,00"
"30/04/2026","OD","OD-2026-012","661000","Interets emprunt","850,00",""
"30/04/2026","OD","OD-2026-012","512000","Interets emprunt","","850,00"
